"verse_number","sanskrit","translation","explanation","problem_category"
"1.15","पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः। पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः॥","Hrishikesha blew the Panchajanya conch, Arjuna the Devadatta, and Bhima, the performer of mighty deeds, blew the great Paundra conch.","Use personal strengths and unique tools effectively. Each warrior’s distinct conch highlights the importance of leveraging individual capabilities in a collective effort.","Personal Strength Utilization"
"1.16","अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः। नकुलः सहदेवश्च सुघोषमणिपुष्पकौ॥","King Yudhishthira blew the Anantavijaya conch, Nakula the Sughosha, and Sahadeva the Manipushpaka.","Lead by example and encourage participation from all team members. Yudhishthira’s leadership, supported by Nakula and Sahadeva, shows that collective efforts lead to success.","Leadership and Participation"
"1.17","काश्यश्च परमेष्वासः शिखण्डी च महारथः। धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः॥","The excellent archer, King of Kashi, the great warrior Shikhandi, Dhrishtadyumna, Virata, and the invincible Satyaki also blew their conches.","Highlighting key contributors boosts collective morale. Acknowledging the strengths of individuals, like Kashi and Shikhandi, fosters a sense of inclusion and motivation.","Recognition and Inclusion"
"1.18","द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते। सौभद्रश्च महाबाहुः शङ्खान् दध्मुः पृथक् पृथक्॥","Drupada, the sons of Draupadi, and the mighty-armed son of Subhadra blew their conches individually.","Encourage individual contributions while maintaining collective focus. Each warrior’s individual conch blast reflects the importance of personal accountability in achieving group goals.","Individual Accountability"
"1.19","स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्। नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन्॥","The resounding sound pierced the hearts of the sons of Dhritarashtra, echoing across the sky and earth.","Strategic actions can psychologically impact opponents. Creating a powerful impression, as done here, can demoralize adversaries and boost your competitive edge.","Psychological Advantage"
"1.20","अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः। प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः॥","Seeing the sons of Dhritarashtra arrayed for battle, Arjuna, with his flag bearing Hanuman, lifted his bow.","Preparation is key before engaging in any challenge. Arjuna’s readiness symbolizes the importance of mental and physical preparation for success.","Preparation and Readiness"
"1.21","हृषीकेशं तदा वाक्यमिदमाह महीपते। सेनयोः उभयोर मध्ये रथं स्थापय मेऽच्युत॥","Arjuna said: O Hrishikesha, place my chariot between the two armies so that I may see those present here, eager to fight.","Before making decisions, position yourself to gain a clear view of all perspectives. Just as Arjuna asked Krishna to place his chariot between the armies, understanding all sides helps in strategic decision-making.","Strategic Planning"
"1.22","यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्। कैर्मया सह योद्धव्यमस्मिन रणसमुद्यमे॥","Let me observe those who are assembled here, eager to fight, and with whom I must engage in this battle.","Identify your challenges and opponents before engaging in any task. Arjuna’s observation highlights the importance of assessing the competition and understanding the battlefield.","Competitor Analysis"
"1.23","योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः। धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः॥","I wish to see those assembled here to fight, wishing to please the evil-minded son of Dhritarashtra.","Evaluate the motivations and intentions of stakeholders. Understanding the motives of others, as Arjuna did, helps anticipate their actions and plan accordingly.","Stakeholder Analysis"
"1.24","एवमुक्तो हृषीकेशो गुडाकेशेन भारत। सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्॥","Thus addressed by Arjuna, Hrishikesha placed the magnificent chariot between the two armies.","Having a trusted guide can help you position yourself for success. Krishna’s placement of the chariot symbolizes aligning with wise counsel to gain the best perspective.","Guidance and Mentorship"
"1.25","भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्। उवाच पार्थः पश्यैतान्समवेतान्कुरूनिति॥","In front of Bhishma, Drona, and all the kings, Krishna said: Behold these Kurus assembled here.","Acknowledge key influencers and power dynamics. Recognizing prominent figures, like Bhishma and Drona, helps in understanding the hierarchy and planning strategies.","Power Dynamics"
"1.26","तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्। आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा॥","There, Arjuna saw fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends in both armies.","Seeing familiar faces in challenging situations can evoke emotional conflict. Arjuna’s realization teaches us to acknowledge emotions but remain focused on the goal.","Emotional Conflict"
"1.27","श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि। तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्॥","He saw fathers-in-law and well-wishers in both armies. Seeing all his relatives, Arjuna was overcome with compassion.","Balancing personal relationships with professional responsibilities can be challenging. Arjuna’s struggle highlights the need to separate emotions from duty.","Work-Life Balance"
"1.28","कृपया परयाविष्टो विषीदन्निदमब्रवीत्। दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्॥","Overcome with compassion, Arjuna said: Seeing my kinsmen assembled here, eager to fight, my limbs fail and my mouth dries up.","Emotional overwhelm can lead to physical stress. Recognize such signs and seek support or guidance, as Arjuna did with Krishna.","Stress Management"
"1.29","सीदन्ति मम गात्राणि मुखं च परिशुष्यति। वेपथुश्च शरीरे मे रोमहर्षश्च जायते॥","My body trembles, my mouth dries up, and my skin bristles with fear.","Physical symptoms of anxiety indicate the need for relaxation techniques. Identifying stress signals early helps in managing anxiety effectively.","Anxiety Management"
"1.30","गाण्डीवं स्रंसते हस्तात्त्वक् चैव परिदह्यते। न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः॥","The Gandiva bow slips from my hand, and my skin burns. I am unable to stand, and my mind seems to whirl.","Losing control during high-pressure situations requires grounding techniques. Take breaks and focus on regaining composure to face challenges effectively.","Handling Pressure"
"1.31","निमित्तानि च पश्यामि विपरीतानि केशव। न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे॥","I see adverse omens, O Keshava, and I foresee no good in killing my own kinsmen in battle.","When decisions seem morally conflicting, pause and reflect. Arjuna's hesitation shows the importance of understanding long-term consequences before acting.","Moral Dilemma"
"1.32","न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च। किं नो राज्येन गोविन्द किं भोगैर् जीवितेन वा॥","I do not desire victory, O Krishna, nor the kingdom or pleasures. What is the use of the kingdom, enjoyment, or even life?","Evaluate your true motivations and priorities. Arjuna’s introspection reminds us to distinguish between material gains and inner fulfillment.","Prioritization"
"1.33","येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च। त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च॥","Those for whom we desire the kingdom, pleasures, and happiness stand here in battle, ready to sacrifice their lives and wealth.","Recognize the human cost of your actions. Arjuna’s realization highlights the need for empathy and understanding in decision-making.","Empathy and Responsibility"
"1.34","आचार्याः पितरः पुत्रास्तथैव च पितामहाः। मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा॥","Teachers, fathers, sons, and also grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives are present here.","Acknowledge the roles and relationships that influence your actions. Understanding these dynamics can provide clarity in complex situations.","Relationship Dynamics"
"1.35","एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन। अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते॥","O Madhusudana, I do not wish to kill them, even for the sovereignty of the three worlds, let alone for an earthly kingdom.","Values should guide decisions, not material gains. Arjuna's refusal to prioritize wealth over relationships teaches us to align actions with core values.","Value-based Decision-making"
"1.36","निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन। पापमेवाश्रयेदस्मान् हत्वैतानाततायिनः॥","What pleasure will we derive, O Janardana, from killing the sons of Dhritarashtra? Sin alone will accrue to us from killing these aggressors.","Weigh the ethical implications of actions. Arjuna’s concern about sin highlights the importance of considering moral consequences.","Ethical Considerations"
"1.37","तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान् स्वबान्धवान्। स्वजनं हि कथं हत्वा सुखिनः स्याम माधव॥","Therefore, it is not proper for us to kill the sons of Dhritarashtra, our own relatives. How can we be happy after killing our kinsmen, O Madhava?","Happiness derived from actions that harm others is fleeting. Arjuna’s reasoning emphasizes finding fulfillment in ethical and compassionate choices.","Happiness and Ethics"
"1.38","यद्यप्येते न पश्यन्ति लोभोपहतचेतसः। कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम्॥","Though they are overcome by greed and see no fault in destroying families or in betraying friends, why should we not refrain from such sins?","Avoid actions driven by greed or selfish motives. Even if others act wrongly, Arjuna’s wisdom reminds us to stay true to higher principles.","Self-Control and Integrity"
"1.39","कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम्। कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन॥","Why should we not learn to turn away from sin, having clearly seen the evil in the destruction of families, O Janardana?","Awareness of consequences should guide behavior. Arjuna’s question prompts us to avoid harmful actions once we recognize their effects.","Awareness and Self-Discipline"
"1.40","कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः। धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत॥","With the destruction of a family, its timeless traditions perish; and when dharma is lost, the entire family succumbs to adharma.","Preserving values and traditions is crucial for long-term stability. Arjuna’s insight highlights the dangers of neglecting foundational principles.","Cultural and Ethical Preservation"
"1.41","अधर्माभिभवात् कृष्ण प्रदुष्यन्ति कुलस्त्रियः। स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः॥","O Krishna, when irreligion prevails, the women of the family become corrupted, and from the degradation of womanhood, O Varshneya, comes unwanted progeny.","Maintaining moral and ethical standards ensures societal harmony. Arjuna warns that neglecting dharma leads to societal breakdown. Upholding values within families is essential for long-term peace.","Family Values and Societal Stability"
"1.42","सङ्करो नरकायैव कुलघ्नानां कुलस्य च। पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः॥","The intermingling of castes leads the family and its destroyers to hell, for their ancestors fall, deprived of offerings of rice and water.","Neglecting traditions and responsibilities can disrupt spiritual balance. By honoring obligations to ancestors, one fosters gratitude and continuity.","Responsibility and Continuity"
"1.43","दोषैर् एतैः कुलघ्नानां वर्णसङ्करकारकैः। उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः॥","By these wrongs, causing confusion of castes, the eternal family and societal duties are destroyed.","Adherence to duty preserves societal order. Ignoring responsibilities can lead to chaos. Stay committed to long-term goals and principles.","Duty and Social Order"
"1.44","उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन। नरके नियतं वासो भवतीत्यनुशुश्रुम॥","O Janardana, we have heard that those whose family duties are destroyed dwell in hell indefinitely.","Understanding consequences helps avoid irreversible mistakes. Awareness of potential outcomes encourages mindful decision-making.","Mindfulness and Consequences"
"1.45","अहो बत महत्पापं कर्तुं व्यवसिताः वयम्। यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः॥","Alas, we are ready to commit a great sin, driven by the desire for kingdom and pleasure, by killing our own kinsmen.","Beware of actions driven by greed. Reflecting on motives, as Arjuna does, helps prevent choices that compromise integrity.","Greed and Integrity"
"1.46","यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः। धार्तराष्ट्रा रणे हन्युः तन्मे क्षेमतरं भवेत्॥","If the sons of Dhritarashtra, armed with weapons, kill me unarmed and unresisting in battle, that would be better for me.","Choosing peace over conflict can sometimes be the bravest decision. Arjuna’s willingness to endure suffering rather than cause harm highlights the power of non-violence.","Non-violence and Courage"
"1.47","एवमुक्त्वाऽर्जुनः सङ्ख्ये रथोपस्थ उपाविशत्। विसृज्य सशरं चापं शोकसंविग्नमानसः॥","Having spoken thus, Arjuna, overwhelmed with sorrow, sat down on the chariot, casting aside his bow and arrows.","Acknowledging and processing emotions is essential during crises. Arjuna’s pause signifies the importance of reflection before action.","Emotional Awareness and Reflection"
"2.1","सञ्जय उवाच। तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम्। विषीदन्तमिदं वाक्यमुवाच मधुसूदनः॥","Sanjaya said: Seeing Arjuna overwhelmed with compassion, his eyes filled with tears and agitated, Krishna spoke these words.","In moments of emotional turmoil, seek guidance from a trusted mentor. Sanjaya highlights the importance of having someone like Krishna who can provide clarity.","Emotional Support and Guidance"
"2.2","श्रीभगवानुवाच। कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम्। अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन॥","The Blessed Lord said: From where has this weakness come upon you at this crucial moment, Arjuna? It is not befitting an honorable person and leads neither to heaven nor fame.","Overcoming self-doubt is crucial during critical times. Krishna advises Arjuna to shed unworthy thoughts and focus on his duties.","Self-Doubt and Motivation"
"2.3","क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते। क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप॥","Do not yield to unmanliness, O Partha. It does not befit you. Cast off this weak-heartedness and arise, O scorcher of enemies!","To overcome fear and weakness, embrace courage and determination. Krishna’s call to action emphasizes the importance of resilience.","Courage and Resilience"
"2.4","अर्जुन उवाच। कथं भीष्ममहं सङ्ख्ये द्रोणं च मधुसूदन। इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन॥","Arjuna said: O Madhusudana, how can I fight with Bhishma and Drona in battle? They are worthy of worship, O destroyer of enemies!","Respecting elders and mentors is vital. However, in difficult situations, balancing respect with duty can guide ethical decisions.","Ethical Dilemmas"
"2.5","गुरूनहत्वा हि महानुभावान् श्रेयो भोक्तुं भैक्ष्यमपीह लोके। हत्वार्थकामांस्तु गुरूनिहैव भुञ्जीय भोगान् रुधिरप्रदिग्धान्॥","It is better to live in this world by begging than to kill my teachers, even though they desire worldly gains. If I kill them, I will enjoy only blood-stained pleasures.","Material success at the cost of values is hollow. Prioritizing principles over short-term gains ensures lasting fulfillment.","Values and Priorities"
"2.6","न चैतद्विद्मः कतरन्नो गरीयो। यद्वा जयेम यदि वा नो जयेयुः। यानेव हत्वा न जिजीविषामः। तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः॥","We do not know which is better—conquering them or being conquered by them. The very sons of Dhritarashtra, after killing whom we would not want to live, stand before us.","When faced with uncertainty, pause to reflect on what truly matters. Arjuna’s confusion highlights the importance of self-awareness in decision-making.","Uncertainty and Reflection"
"2.7","कार्पण्यदोषोपहतस्वभावः। पृच्छामि त्वां धर्मसंमूढचेताः। यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे। शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम्॥","My heart is overcome by the weakness of pity, and my mind is confused about duty. I ask you to tell me what is best for me. I am your disciple, and I surrender to you.","Seeking advice from a mentor when confused shows humility and wisdom. Arjuna’s surrender to Krishna underscores the power of guidance in times of crisis.","Seeking Guidance and Clarity"
"2.8","न हि प्रपश्यामि ममापनुद्याद्। यच्छोकमुच्छोषणमिन्द्रियाणाम्। अवाप्य भूमावसपत्नमृद्धं। राज्यं सुराणामपि चाधिपत्यम्॥","I do not see anything that can remove my sorrow, even if I were to obtain a prosperous, unrivaled kingdom on earth or even the sovereignty of the gods.","Material success alone cannot alleviate inner turmoil. True peace comes from resolving internal conflicts.","Inner Peace and Contentment"
"2.9","सञ्जय उवाच। एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तपः। न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह॥","Sanjaya said: Having thus spoken to Hrishikesha, the conqueror of sleep, Arjuna said, 'I shall not fight,' and became silent.","Silence can be a powerful tool for reflection. Arjuna’s pause emphasizes the need to take a moment to assess one’s thoughts before making decisions.","Pause and Reflection"
"2.10","तमुवाच हृषीकेशः प्रहसन्निव भारत। सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः॥","Hrishikesha, as if smiling, spoke these words to the despondent Arjuna in the midst of the two armies.","Approaching problems with calmness and a positive mindset can ease tension. Krishna’s smile conveys confidence and reassurance.","Positive Attitude and Reassurance"
"2.11","अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे। गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः॥","You are mourning those who should not be mourned, yet speaking words of wisdom. The wise grieve neither for the living nor the dead.","Grieving over things beyond control only causes unnecessary suffering. Focus on what you can change. Accept situations and move forward with wisdom.","Acceptance and Letting Go"
"2.12","नत्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः। न चैव न भविष्यामः सर्वे वयमतः परम्॥","Never was there a time when I did not exist, nor you, nor all these kings; nor in the future shall we cease to be.","Life is eternal, and change is constant. Accept the present while knowing that continuity is part of existence.","Eternal Perspective"
"2.13","देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा। तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति॥","Just as the soul experiences childhood, youth, and old age in the body, so it passes into another body. The wise are not deluded by this.","Change is inevitable. Embrace transitions in life as a natural process, without fear or attachment.","Handling Transitions"
"2.14","मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः। आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत॥","O son of Kunti, the contacts of the senses with their objects bring cold, heat, pleasure, and pain. They come and go and are impermanent. Endure them bravely.","Pleasure and pain are temporary. Learning to endure both with equanimity leads to resilience.","Endurance and Patience"
"2.15","यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ। समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते॥","O best among men, the person who is steady in both pleasure and pain becomes eligible for immortality.","Staying calm in both good and bad times brings mental stability and long-term success.","Mental Stability"
"2.16","नासतो विद्यते भावो नाभावो विद्यते सतः। उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः॥","The unreal has no existence; the real never ceases to be. The truth about both has been seen by the seers of reality.","Focus on what is truly permanent and meaningful in life. Temporary things should not disturb inner peace.","Focus on Reality"
"2.17","अविनाशि तु तद्विद्धि येन सर्वमिदं ततम्। विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति॥","Know that which pervades all is indestructible. No one can destroy the imperishable soul.","Your true essence is indestructible. Focus on inner strength, not external challenges.","Inner Strength"
"2.18","अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः। अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत॥","The body is perishable, but the soul is eternal and immeasurable. Therefore, fight, O Bharata.","Do your duty without attachment to outcomes. Knowing that the soul is eternal gives courage.","Duty and Courage"
"2.19","य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम्। उभौ तौ न विजानीतो नायं हन्ति न हन्यते॥","He who thinks the soul kills or is killed does not understand; the soul kills not, nor is it killed.","Actions should not be based on fear of loss. The soul’s essence remains unaffected by external events.","Fearlessness"
"2.20","न जायते म्रियते वा कदाचिन्। नायं भूत्वा भविता वा न भूयः। अजो नित्यः शाश्वतोऽयं पुराणो। न हन्यते हन्यमाने शरीरे॥","The soul is never born, nor does it ever die. It has always existed and will continue to exist. It is unborn, eternal, and timeless.","Understand your eternal nature to overcome the fear of death. Confidence comes from knowing your true self.","Confidence and Self-Realization"
"2.21","वेदाविनाशिनं नित्यं य एनमजमव्ययम्। कथं स पुरुषः पार्थ कं घातयति हन्ति कम्॥","He who knows the soul to be indestructible, eternal, unborn, and immutable, how can he kill or cause anyone to kill, O Partha?","Understand that the true self is beyond destruction. Focus on actions, not the fear of loss or harm. This clarity brings courage in decision-making.","Fearlessness and Clarity"
"2.22","वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णा- न्यन्यानि संयाति नवानि देही॥","Just as a person discards old clothes and puts on new ones, so the soul discards worn-out bodies and takes on new ones.","Life’s changes are inevitable. Embrace new beginnings without attachment to the past, as renewal is a natural part of growth.","Embracing Change"
"2.23","नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः। न चैनं क्लेदयन्त्यापो न शोषयति मारुतः॥","Weapons cannot cut the soul, fire cannot burn it, water cannot wet it, and wind cannot dry it.","Your inner strength is untouchable by external challenges. Focus on your inner power to stay unaffected by adversity.","Inner Strength and Resilience"
"2.24","अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च। नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः॥","This soul is unbreakable, cannot be burned, wet, or dried. It is eternal, all-pervading, stable, immovable, and ancient.","Recognize the unshakable core within you. Stability comes from realizing that your essence is beyond change.","Stability and Self-Awareness"
"2.25","अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते। तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि॥","The soul is invisible, inconceivable, and immutable. Knowing this, you should not grieve.","Worrying over what cannot be changed is futile. Focus on actionable solutions instead of dwelling on the unchangeable.","Overcoming Worry"
"2.26","अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम्। तथापि त्वं महाबाहो नैवं शोचितुमर्हसि॥","Even if you think the soul is born or dies constantly, still, O mighty-armed, you should not grieve.","Whether life is seen as continuous or finite, grief does not serve a purpose. Act with strength and determination.","Taking Action"
"2.27","जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च। तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि॥","Death is certain for the born, and birth is certain for the dead. Therefore, you should not lament over the inevitable.","Accept life’s inevitabilities. Focus on what you can influence, rather than lamenting over what is beyond control.","Acceptance and Focus"
"2.28","अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत। अव्यक्तनिधनान्येव तत्र का परिदेवना॥","All beings are unmanifested at the beginning, manifest in the middle, and unmanifest again at the end. Why, then, lament?","Understand the cycle of life and let go of attachments to temporary forms. Focus on the journey, not the outcome.","Detachment and Perspective"
"2.29","आश्चर्यवत्पश्यति कश्चिदेन- मश्चर्यवद्वदति तथैव चान्यः। आश्चर्यवच्चैनमन्यः श्रृणोति श्रुत्वाप्येनं वेद न चैव कश्चित्॥","Some see the soul as amazing, some describe it as amazing, and some hear of it as amazing, but no one truly knows it.","Life's mysteries may inspire awe but remain unknowable. Accept the unknown with wonder instead of frustration.","Acceptance of the Unknown"
